TEST_CASE	WALL_CLOCK	SYSTEM	USER	RSS	MAJ_PG_F	MIN_PG_F	VOL_CTX_S	IV_CTX_S
dwgsim-transcriptome-pe100-cov2	5.12	0.50	4.61	18720	0	251567	1	569
art_original-transcriptome-pe100-cov2	11.48	1.35	10.12	11680	0	1415	1	83
art_modern-transcriptome-pe100-cov2	0.74	0.25	2.29	247848	0	60709	10181	103
art_modern_gcc-transcriptome-pe100-cov2	1.07	0.18	3.74	224460	0	58591	14251	35
wgsim-transcriptome-pe100-cov4	3.42	0.20	3.22	15452	0	12018	1	14
dwgsim-transcriptome-pe100-cov4	8.87	0.60	8.27	18704	0	251565	2	430
art_original-transcriptome-pe100-cov4	22.06	2.65	19.40	11532	0	1415	3	124
art_modern-transcriptome-pe100-cov4	1.27	0.36	4.50	247896	0	60527	21855	112
art_modern_gcc-transcriptome-pe100-cov4	1.97	0.21	7.43	224720	0	58685	30653	70
wgsim-transcriptome-pe100-cov8	6.45	0.45	6.00	15452	0	12015	1	42
dwgsim-transcriptome-pe100-cov8	16.36	0.76	15.59	18728	0	251564	3	204
art_original-transcriptome-pe100-cov8	43.28	5.13	38.14	11768	0	1416	5	313
art_modern-transcriptome-pe100-cov8	2.36	0.74	8.63	252728	0	61981	36346	113
art_modern_gcc-transcriptome-pe100-cov8	3.81	0.62	14.67	224332	0	58813	53716	100
wgsim-transcriptome-pe100-cov16	12.44	0.80	11.63	15148	0	12017	1	95
dwgsim-transcriptome-pe100-cov16	31.35	1.19	30.14	18384	0	251568	2	200
art_original-transcriptome-pe100-cov16	85.79	10.28	75.50	11788	0	1415	7	504
art_modern-transcriptome-pe100-cov16	4.50	1.37	17.08	252636	0	62048	68283	138
art_modern_gcc-transcriptome-pe100-cov16	7.58	1.12	28.69	225488	0	59271	110785	200
wgsim-genome-pe300-cov1	1.84	0.21	1.62	115340	0	109089	1	9
pirs-genome-pe300-cov1	0.99	0.26	6.85	37464	0	14233	23245	111
dwgsim-genome-pe300-cov1	5.16	0.54	4.61	359044	0	397721	1	25
art_original-genome-pe300-cov1	9.87	0.46	9.40	75816	0	28777	3	50
art_modern-genome-pe300-cov1	0.55	0.32	1.94	220080	0	88121	4891	83
art_modern_gcc-genome-pe300-cov1	0.78	0.21	3.26	195128	0	86023	8000	91
wgsim-genome-pe300-cov2	2.91	0.27	2.63	115184	0	109085	1	13
pirs-genome-pe300-cov2	1.71	0.49	11.69	37768	0	14256	48650	119
dwgsim-genome-pe300-cov2	8.08	0.62	7.46	358892	0	397722	1	44
art_original-genome-pe300-cov2	18.27	0.95	17.31	75800	0	28778	2	288
art_modern-genome-pe300-cov2	0.86	0.46	3.77	218420	0	87741	9370	85
art_modern_gcc-genome-pe300-cov2	1.24	0.42	6.04	195012	0	86062	12763	60
wgsim-genome-pe300-cov4	5.06	0.40	4.65	115248	0	109088	1	32
pirs-genome-pe300-cov4	3.19	0.97	22.13	37736	0	14263	93829	260
dwgsim-genome-pe300-cov4	14.03	0.77	13.25	358820	0	397722	1	46
art_original-genome-pe300-cov4	35.03	1.85	33.16	75812	0	28776	4	209
art_modern-genome-pe300-cov4	1.53	0.70	7.55	218940	0	87828	19693	193
art_modern_gcc-genome-pe300-cov4	2.25	0.71	12.04	194744	0	85931	25177	101
wgsim-genome-pe300-cov8	9.37	0.74	8.62	115344	0	109088	1	50
pirs-genome-pe300-cov8	6.28	1.85	43.40	37736	0	14233	187794	721
dwgsim-genome-pe300-cov8	25.95	1.06	24.88	358744	0	397720	1	158
art_original-genome-pe300-cov8	69.01	3.59	65.41	75384	0	28778	4	490
art_modern-genome-pe300-cov8	2.74	1.28	14.74	220388	0	88201	37018	188
art_modern_gcc-genome-pe300-cov8	4.54	0.76	24.96	194904	0	86014	60904	386
wgsim-genome-pe300-cov16	17.98	1.21	16.73	114928	0	109088	10	209
pirs-genome-pe300-cov16	12.44	3.55	86.13	38056	0	14253	381641	1248
dwgsim-genome-pe300-cov16	49.77	1.72	48.04	358984	0	397723	1	402
art_original-genome-pe300-cov16	135.85	7.33	128.50	75804	0	28777	11	972
art_modern-genome-pe300-cov16	5.23	2.34	30.05	221272	0	88674	66106	338
art_modern_gcc-genome-pe300-cov16	8.56	2.24	49.25	196588	0	86524	106552	573
wgsim-transcriptome-pe300-cov1	1.02	0.10	0.92	15456	0	12003	1	6
dwgsim-transcriptome-pe300-cov1	3.05	0.40	2.64	18520	0	251568	1	457
art_original-transcriptome-pe300-cov1	5.70	0.29	5.40	12156	0	1519	1	23
art_modern-transcriptome-pe300-cov1	0.46	0.18	1.16	248776	0	60595	5158	77
art_modern_gcc-transcriptome-pe300-cov1	0.62	0.15	1.80	225268	0	58727	6858	27
wgsim-transcriptome-pe300-cov2	1.63	0.12	1.51	15456	0	12005	1	16
dwgsim-transcriptome-pe300-cov2	4.76	0.48	4.28	18644	0	251567	1	591
art_original-transcriptome-pe300-cov2	9.90	0.47	9.43	12172	0	1518	1	42
art_modern-transcriptome-pe300-cov2	0.73	0.20	2.23	248412	0	60611	10786	66
art_modern_gcc-transcriptome-pe300-cov2	1.07	0.23	3.49	225312	0	58740	12912	31
wgsim-transcriptome-pe300-cov4	2.85	0.21	2.63	15136	0	12003	1	19
dwgsim-transcriptome-pe300-cov4	8.15	0.58	7.56	18480	0	251567	2	408
art_original-transcriptome-pe300-cov4	19.09	1.03	18.05	12288	0	1516	1	97
art_modern-transcriptome-pe300-cov4	1.28	0.44	4.24	249628	0	60866	18059	92
art_modern_gcc-transcriptome-pe300-cov4	1.99	0.37	7.01	225796	0	58836	27232	62
