TEST_CASE	WALL_CLOCK	SYSTEM	USER	RSS	MAJ_PG_F	MIN_PG_F	VOL_CTX_S	IV_CTX_S
wgsim-genome-pe100-size1048576	0.07	0.00	0.06	18288	0	2468	1	4
pirs-genome-pe100-size1048576	0.05	0.01	0.30	12812	0	1834	2853	39
dwgsim-genome-pe100-size1048576	0.17	0.01	0.16	28960	0	5217	1	2
art_original-genome-pe100-size1048576	0.42	0.05	0.37	12432	0	1862	1	6
art_modern-genome-pe100-size1048576	0.12	0.07	0.15	114632	0	25952	446	67
art_modern_gcc-genome-pe100-size1048576	0.12	0.03	0.20	96508	0	24076	436	14
wgsim-genome-pe100-size4194304	0.27	0.01	0.25	33492	0	7077	1	5
pirs-genome-pe100-size4194304	0.15	0.06	0.99	16040	0	3377	11070	50
dwgsim-genome-pe100-size4194304	0.66	0.02	0.62	81280	0	18273	1	37
art_original-genome-pe100-size4194304	1.66	0.19	1.46	21540	0	5705	1	83
art_modern-genome-pe100-size4194304	0.16	0.09	0.38	117856	0	27738	994	65
art_modern_gcc-genome-pe100-size4194304	0.22	0.05	0.71	99132	0	25595	2286	24
wgsim-genome-pe100-size16777216	1.04	0.08	0.96	94824	0	25508	1	3
pirs-genome-pe100-size16777216	0.61	0.21	3.99	28272	0	9525	44423	145
dwgsim-genome-pe100-size16777216	2.66	0.13	2.52	289760	0	70496	1	231
art_original-genome-pe100-size16777216	6.65	0.86	5.78	58136	0	21068	1	149
art_modern-genome-pe100-size16777216	0.38	0.14	1.35	130356	0	33637	6070	73
art_modern_gcc-genome-pe100-size16777216	0.43	0.14	2.15	111872	0	31772	3687	46
wgsim-genome-pe100-size67108864	4.19	0.29	3.89	341024	0	99289	1	25
pirs-genome-pe100-size67108864	2.09	0.93	14.65	77736	0	34106	172199	289
dwgsim-genome-pe100-size67108864	10.46	0.51	9.94	1125440	0	279393	1	194
art_original-genome-pe100-size67108864	26.42	3.10	23.31	140512	0	82513	3	373
art_modern-genome-pe100-size67108864	1.02	0.51	5.29	185316	0	58393	13290	129
art_modern_gcc-genome-pe100-size67108864	1.96	0.21	9.04	161224	0	56399	30918	126
wgsim-genome-pe100-size268435456	17.04	1.36	15.67	1323716	0	394199	1	613
pirs-genome-pe100-size268435456	8.68	3.47	59.41	274076	0	132418	714955	1319
dwgsim-genome-pe100-size268435456	42.00	2.06	39.94	4467360	0	1114977	2	1058
art_original-genome-pe100-size268435456	105.86	12.98	92.85	533808	0	328274	7	2368
art_modern-genome-pe100-size268435456	3.95	1.89	22.10	382988	0	157086	54811	662
art_modern_gcc-genome-pe100-size268435456	6.08	1.59	35.50	359288	0	155033	71053	354
wgsim-transcriptome-pe100-size1024	0.06	0.01	0.05	14240	0	931	1	9
dwgsim-transcriptome-pe100-size1024	0.17	0.01	0.15	12000	0	7007	1	28
art_original-transcriptome-pe100-size1024	0.40	0.04	0.35	9600	0	628	1	3
art_modern-transcriptome-pe100-size1024	0.11	0.06	0.14	113920	0	25863	551	77
art_modern_gcc-transcriptome-pe100-size1024	0.13	0.04	0.21	95688	0	23982	484	13
wgsim-transcriptome-pe100-size4096	0.25	0.01	0.24	13920	0	930	1	31
dwgsim-transcriptome-pe100-size4096	0.65	0.06	0.59	12000	0	25440	1	134
art_original-transcriptome-pe100-size4096	1.60	0.20	1.40	9760	0	674	1	122
art_modern-transcriptome-pe100-size4096	0.16	0.08	0.39	117628	0	27656	1132	68
art_modern_gcc-transcriptome-pe100-size4096	0.21	0.04	0.61	99200	0	25675	2191	17
